Name;Rechtsform;Strasse;PLZ;Ort;Bundesland;Telefon;Email;Website;MastrNummer;TAB_Niederspannung_Link;TAB_Typ;TAB_Stand;TAB_Ergaenzung_Link;Anmeldeportal;Planauskunft_Link;Link_geprueft;Link_Status;Quelle;Recherche_Datum;Anmerkung
E.DIS Netz GmbH;GmbH;Langewahler Str. 60;15517;Fürstenwalde/Spree;BB, MV;0 33 61- 3 19 90 00;kundenservice@e-dis.de;https://www.e-dis-netz.de/;SNB941690671609;https://www.e-dis-netz.de/de/energie-anschliessen/stromnetz/netzanschluss/technische-anschlussbedingungen.html;Regional;n/a - Seite gefunden, PDF-Direktlink wegen JavaScript-Rendering nicht automatisiert extrahierbar;n/a;https://www.e-dis-netz.de/de/kommunen-partner/installateure/netzanschluss-portal.html;n/a;n/a;n/a;"https://www.northdata.de , https://de.wikipedia.org/wiki/E.DIS , e-dis-netz.de Sitemap | https://www.e-dis-netz.de , https://www.northdata.de; MaStR Gesamtdatenexport 2026-09-18 (SNB941690671609)";2026-09-18;[Zusammengeführt aus 2 Regions-Treffern] E.ON-Konzern (Tochter der E.DIS AG). Größter Flächen-VNB in Brandenburg (rund 36.000 km² von Ostsee bis Spreewald). Handelsregister Amtsgericht Frankfurt/Oder HRB 16068. Website stark JavaScript-basiert, Telefon/E-Mail nicht automatisiert auffindbar - bitte manuell auf Kontaktseite prüfen. || Sitz in Fürstenwalde/Spree (Brandenburg), betreibt Verteilnetz aber auch in weiten Teilen Vorpommerns (Ost-MV). Handelsregister Amtsgericht Frankfurt/Oder HRB 16068. Telefon/E-Mail auf stark JS-basierter Website nicht automatisiert auffindbar - bitte manuell auf Kontaktseite pruefen. | MaStR-Stammdaten ergaenzt: Telefon, Email | MaStR-Rollen: Anschlussnetzbetreiber, Bilanzkreisverantwortlicher, Messstellenbetreiber
WEMAG Netz GmbH;GmbH;Obotritenring 40;19053;Schwerin;BB, MV;0385 7553 022;kontakt@wemag-netz.de;https://www.wemag-netz.de/;SNB928759560869;https://www.wemag-netz.de/sites/default/files/2026-04/tab-niederspannung-nord-2023_240515.pdf;BDEW_Muster;TAB NS Nord 2023, Stand 15.05.2024 (Dateiname-Suffix 240515);n/a;https://installateurportal.wemag-netz.de/servicecenter-inst-portal-ui/prozesse;n/a;n/a;n/a;"https://www.wemag-netz.de , https://de.wikipedia.org/wiki/WEMAG | https://www.wemag-netz.de , https://www.wemag.com/impressum; MaStR Gesamtdatenexport 2026-09-18 (SNB928759560869)";2026-09-18;[Zusammengeführt aus 2 Regions-Treffern] Unternehmenssitz in Schwerin (Mecklenburg-Vorpommern), Netzgebiet reicht in die West-Prignitz (Brandenburg) hinein - daher Bundesland BB nur fuer den Brandenburg-Teil des Netzgebiets. Gesamtnetzlaenge Gruppe ca. 16.142 km. || Größter Verteilnetzbetreiber in MV (Westmecklenburg), ca. 16.600 km Stromleitungen. Handelsregister Amtsgericht Schwerin HRB 9319. TAB NS Nord ist ein gemeinsamer Standard mehrerer norddeutscher VNB (u.a. auch von Stromnetz Berlin und StWB Brandenburg genutzt). | MaStR-Rollen: Anschlussnetzbetreiber, Bilanzkreisverantwortlicher, Messstellenbetreiber
MITNETZ STROM (Mitteldeutsche Netzgesellschaft Strom mbH);GmbH;Industriestr. 10;06184;Kabelsketal;BB, SN;034605 291000;info@mitnetz-strom.de;https://www.mitnetz-strom.de/;SNB916269213931;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://de.wikipedia.org/wiki/Envia_Mitteldeutsche_Energie | https://www.northdata.de/ (Handelsregisterauszug HRB 215080, AG Stendal); MaStR Gesamtdatenexport 2026-09-18 (SNB916269213931)";2026-09-18;"[Zusammengeführt aus 2 Regions-Treffern] UNSICHER/unvollstaendig: Website mitnetz-strom.de in dieser Sandbox technisch nicht abrufbar (robots.txt-Fehler bei jedem Versuch). Teil der enviaM-Gruppe (E.ON-Konzern), Sitz Halle (Saale) in Sachsen-Anhalt; Netzgebiet reicht in kleinere Teile des sued-lichen Brandenburgs (Raum Elbe-Elster/Lausitz). Genaue Strasse, PLZ, Telefon, Email und TAB-Link konnten nicht verifiziert werden - manuell nachpruefen. || UNSICHER/unvollstaendig: Website mitnetz-strom.de war in dieser Sandbox bei jedem Versuch technisch nicht erreichbar (robots.txt-Fehler/Timeout). Adresse stammt aus Handelsregisterdaten (northdata.de) und wurde NICHT von der Firmenwebsite gegengeprueft. Firmensitz liegt in Sachsen-Anhalt (Kabelsketal bei Halle/Saale), das Unternehmen (enviaM-Konzern) betreibt aber als groesster Flaechen-VNB auch weite Teile Sachsens. Telefon, Email, TAB-Link und Anmeldeportal konnten nicht verifiziert werden - dringend manuell nachrecherchieren. | MaStR-Stammdaten ergaenzt: Telefon, Email | MaStR-Rollen: Anschlussnetzbetreiber, Bilanzkreisverantwortlicher, Messstellenbetreiber | Match unsicher (fuzzy_ort, score=83) | TAB/Portal: Website-Recherche noetig | DUPLIKAT: MastrNummer SNB916269213931 mehrfach in Liste — manuell zusammenfuehren."
Stromnetz Berlin GmbH;GmbH;Eichenstraße 3a;12435;Berlin;BE;030 492 02-00;einspeiser@stromnetz-berlin.de;https://www.stromnetz.berlin/;SNB979269087643;https://www.stromnetz.berlin/files/globalassets/dokumente/technische-anschlussbedingungen/tab-ns-nord-2023/TAB-NS-Nord-2023-v2_0.pdf;BDEW_Muster;TAB NS Nord 2023, Version 2.0, Stand 15.05.2024;n/a;https://kundenportal.stromnetz.berlin;n/a;n/a;n/a;"https://www.stromnetz.berlin/ , https://www.stromnetz.berlin/impressum; MaStR Gesamtdatenexport 2026-09-18 (SNB979269087643)";2026-09-18;Vattenfall-Konzern. TAB NS Nord ist ein gemeinsamer regionaler Standard mehrerer 50Hertz-VNB (auch von WEMAG Netz und StWB Brandenburg genutzt). E-Mail-Adresse auf Website per JavaScript verschleiert, nicht automatisiert auslesbar. | MaStR-Stammdaten ergaenzt: Email | MaStR-Rollen: Anschlussnetzbetreiber
Elektrizitätswerk Wennenmühle Schörger GmbH & Co. KG;GmbH & Co. KG;Wennenmühle 1;86733;Alerheim;BY;09085/203;kontakt@wennenmuehle.de;https://www.wennenmuehle.de;SNB913832420338;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB913832420338)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Stadtwerke Altdorf GmbH;GmbH;Hersbrucker Straße 6a;90518;Altdorf bei Nürnberg;BY;09187/929-0;netz@stadtwerke-altdorf.de;https://www.stadtwerke-altdorf.de;SNB947092763157;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB947092763157)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Überlandzentrale Wörth/I.-Altheim Netz Aktiengesellschaft;AG;Regensburger Straße 33;84051;Altheim;BY;08703/9255-238;info@uezw-strom.de;https://www.uezw-strom.de;SNB917454122557;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB917454122557)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | Match unsicher (fuzzy, score=88) | TAB/Portal: Website-Recherche noetig
Energieversorgung Alzenau GmbH;GmbH;Mühlweg 1;63755;Alzenau;BY;+49 931 73045 900;eva-einspeiser@rde-dienstleistungen.de;https://www.eva-alzenau.de;SNB913576376151;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB913576376151)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
Stadtwerke Amberg Versorgungs GmbH;GmbH;Gasfabrikstraße 16;92224;Amberg;BY;0800 603-5555;poststelle@stadtwerke-amberg.de;https://www.stadtwerke-amberg.de;SNB978191145308;n/a - Direktlink in dieser Recherche nicht gefunden;Unbekannt;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.stadtwerke-amberg.de/impressum | https://www.stadtwerke-amberg.de/informationen-fuer-bauherren; MaStR Gesamtdatenexport 2026-09-18 (SNB978191145308)";2026-09-18;"TAB-PDF-Link müsste auf ""informationen-fuer-bauherren""-Seite nachrecherchiert werden. | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig"
Brücken-Center Ansbach GmbH;GmbH;Residenzstraße 2-6;91522;Ansbach;BY;+49 981 488230;info@bruecken-center.de;https://www.bc-ansbach.de;SNB910066952147;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB910066952147)";2026-09-18;Eintrag stammt aus Sonderkategorie 'h. Regulierungskammer' der offiziellen Liste - moeglicherweise Betreiber eines geschlossenen Verteilernetzes/Arealnetzes (z.B. Flughafen, Gewerbepark, Einkaufszentrum) statt eines allgemeinen oeffentlichen Niederspannungsnetzes fuer Endkunden, vor Nutzung pruefen. Adresse/Telefon/Email/Website/TAB-Link nicht individuell verifiziert. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Stadtwerke Ansbach GmbH;GmbH;Rügländer Straße 1;91522;Ansbach;BY;0981/8904-0;info@stwan.de;https://n/a - vermutlich stadtwerke-ansbach.de, technisch nicht erreichbar (SSL-Zertifikatsfehler);SNB937406641264;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"Bayerische Landesregulierungsbehörde - Netzbetreiberliste Strom 2026; MaStR Gesamtdatenexport 2026-09-18 (SNB937406641264)";2026-09-18;Website-Zugriff in dieser Session technisch fehlgeschlagen (Hostname-Mismatch-Zertifikatsfehler), WebSearch-Kontingent zum Nachrecherchieren aufgebraucht. Bitte manuell nachrecherchieren. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
EW-Geiger GmbH;GmbH;Auf Gut Kless 6;93474;Arrach;BY;+49(09943)619;info@ewerk-geiger.de;https://www.ewerk-geiger.de;SNB977966674678;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB977966674678)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
Aschaffenburger Versorgungs-GmbH;GmbH;Werkstraße 2;63739;Aschaffenburg;BY;06021391235;michelle.vaida@stwab.de;https://n/a - vermutlich avg-aschaffenburg.de, in dieser Recherche nicht erreichbar (DNS-Fehler);SNB911081401368;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"Bayerische Landesregulierungsbehörde - Netzbetreiberliste Strom 2026; MaStR Gesamtdatenexport 2026-09-18 (SNB911081401368)";2026-09-18;"Bekannt unter Kürzel ""AVG"", Website-Domain-Vermutung in dieser Session nicht erreichbar, WebSearch-Kontingent aufgebraucht. Bitte manuell nachrecherchieren. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email | MaStR-Rollen: Anschlussnetzbetreiber, Bilanzkreisverantwortlicher | TAB/Portal: Website-Recherche noetig"
LEW Verteilnetz GmbH;GmbH;Schaezlerstraße 3;86150;Augsburg;BY;+49 821 328-2222;service@lew-verteilnetz.de;https://www.lew-verteilnetz.de;SNB911705062982;https://www.lew-verteilnetz.de/media/kxdnhir2/tab-niederspannung-2023-v2.pdf;Unbekannt;TAB 2023 v2;n/a;n/a - nicht verifiziert;n/a;n/a;n/a;"https://www.lew-verteilnetz.de/impressum | https://www.lew-verteilnetz.de/stromnetz/netzanschluss/bedingungen-und-preise-fuer-netzanschluss/tab-niederspannung; MaStR Gesamtdatenexport 2026-09-18 (SNB911705062982)";2026-09-18;Großer Flächen-VNB in Schwaben (Lechwerke-Konzern). | MaStR-Rollen: Anschlussnetzbetreiber, Bilanzkreisverantwortlicher | TAB/Portal: Website-Recherche noetig
swa Netze GmbH;GmbH;Hoher Weg 1;86152;Augsburg;BY;0821/6500-64000;netze@swa-netze.de;https://www.swa-netze.de;SNB958077102830;https://www.swa-netze.de/fileadmin/Downloadfiles/Strom/01_Netzanschluss_und_Preise/06_TAB/Technische_Anschlussbedingungen_fuer_den_Anschluss_an_das_Niederspannungsnetz_-_TAB_2023.pdf;Unbekannt;TAB 2023;n/a;n/a - nicht verifiziert;n/a;n/a;n/a;"https://www.swa-netze.de/impressum | WebSearch-Ergebnisse; MaStR Gesamtdatenexport 2026-09-18 (SNB958077102830)";2026-09-18;"Offizieller Name ist ""swa Netze GmbH"" (Postanschrift Postfach 10 24 40, 86014 Augsburg), NICHT ""Stadtwerke Augsburg Netz GmbH"" wie im Rechercheauftrag als Startpunkt vermutet - hier korrigiert. | MaStR-Rollen: Anschlussnetzbetreiber, Bilanzkreisverantwortlicher, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig"
Stadtwerke Bad Aibling;Eigenbetrieb;Lindenstraße 30;83043;Bad Aibling;BY;08061/90660;info@sw-ba.de;https://www.sw-ba.de;SNB939779591900;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB939779591900)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website, Rechtsform | MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
Stadtwerke Bad Brückenau GmbH;GmbH;Sinnaustraße 14;97769;Bad Brückenau;BY;09741-91120;stadtwerke@stw-brk.de;https://www.stw-brk.de;SNB983359308570;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB983359308570)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber, Messstellenbetreiber | TAB/Portal: Website-Recherche noetig
Elektrizitätswerk Stern KG;KG;Kurf 11a;83093;Bad Endorf;BY;08053 306590;info@ewerk-stern.de;https://www.ewerk-stern.de;SNB910882213224;n/a;Leer;n/a;n/a;n/a;n/a;n/a;n/a;"https://www.regulierungskammer-bayern.de/fileadmin/user_upload/regulierungskammer/Dokumente/Zustaendigkeiten/2026-06-08-Regulierungskammer-Netzbetreiberliste-Strom-2026.pdf; MaStR Gesamtdatenexport 2026-09-18 (SNB910882213224)";2026-09-18;Kleiner/lokaler VNB laut offizieller Netzbetreiberliste der Bayerischen Landesregulierungsbehoerde (Stand 08.06.2026). Adresse/Telefon/Email/Website/TAB-Link im Rahmen dieser Recherche NICHT individuell verifiziert (Zeit- und Suchbudget begrenzt, WebSearch-Kontingent aufgebraucht) - vor Nutzung auf offizieller Quelle bzw. Firmenwebsite pruefen. | MaStR-Stammdaten ergaenzt: Strasse, PLZ, Telefon, Email, Website | MaStR-Rollen: Anschlussnetzbetreiber | TAB/Portal: Website-Recherche noetig
